what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1339972114582
java.runtime.version,sysinfo,,,"1.6.0_24-b24",1339972114582
java.specification.name,sysinfo,,,"Java Platform API Specification",1339972114582
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1339972114582
java.specification.version,sysinfo,,,"1.6",1339972114582
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1339972114582
java.version,sysinfo,,,"1.6.0_24",1339972114582
java.vm.info,sysinfo,,,"mixed mode, sharing",1339972114582
java.vm.name,sysinfo,,,"OpenJDK Client VM",1339972114582
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1339972114582
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1339972114582
java.vm.specification.version,sysinfo,,,"1.0",1339972114582
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1339972114582
java.vm.version,sysinfo,,,"20.0-b12",1339972114582
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339972114601
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1339972117651
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339972139242
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1339972139899
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1339972140415
started,bundle,org.eclipse.cdt.managedbuilder.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.ui",1339972146270
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1339972146319
started,bundle,org.eclipse.linuxtools.cdt.autotools.ui,1.0.1.201202152032,"org.eclipse.linuxtools.cdt.autotools.ui",1339972146479
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339972146906
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339972222041
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339972224478
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1339972225970
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339972226071
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1339972226631
stopped,bundle,org.eclipse.linuxtools.valgrind.massif,0.9.0.201202152032,"org.eclipse.linuxtools.valgrind.massif",1339972226923
stopped,bundle,org.eclipse.birt.chart.device.svg,3.7.2.v20120213,"org.eclipse.birt.chart.device.svg",1339972226931
stopped,bundle,org.eclipse.birt.chart.device.extension,3.7.2.v20120213,"org.eclipse.birt.chart.device.extension",1339972226942
stopped,bundle,org.eclipse.birt.chart.device.swt,3.7.2.v20120213,"org.eclipse.birt.chart.device.swt",1339972226951
stopped,bundle,org.eclipse.birt.chart.engine.extension,3.7.2.v20120213,"org.eclipse.birt.chart.engine.extension",1339972226975
stopped,bundle,org.eclipse.linuxtools.gcov.core,4.1.1.201202152032,"org.eclipse.linuxtools.gcov.core",1339972226987
stopped,bundle,org.eclipse.linuxtools.gprof,4.0.0.201202152032,"org.eclipse.linuxtools.gprof",1339972226989
stopped,bundle,org.eclipse.linuxtools.dataviewers.charts,4.1.0.201202152032,"org.eclipse.linuxtools.dataviewers.charts",1339972226995
stopped,bundle,org.eclipse.birt.chart.ui,3.7.2.v20120213,"org.eclipse.birt.chart.ui",1339972227009
stopped,bundle,org.eclipse.linuxtools.systemtap.ui.dashboardextension,0.3.0.201202152032,"org.eclipse.linuxtools.systemtap.ui.dashboardextension",1339972227009
stopped,bundle,org.eclipse.linuxtools.systemtap.ui.dashboard,0.3.0.201202152032,"org.eclipse.linuxtools.systemtap.ui.dashboard",1339972227038
stopped,bundle,org.eclipse.linuxtools.systemtap.ui.graphicalrun,0.3.0.201202152032,"org.eclipse.linuxtools.systemtap.ui.graphicalrun",1339972227038
stopped,bundle,org.eclipse.linuxtools.systemtap.ui.ide,0.3.0.201202152032,"org.eclipse.linuxtools.systemtap.ui.ide",1339972227067
stopped,bundle,org.eclipse.linuxtools.systemtap.ui.graphing,0.3.0.201202152032,"org.eclipse.linuxtools.systemtap.ui.graphing",1339972227110
stopped,bundle,org.eclipse.linuxtools.systemtap.ui.graphingapi.ui,0.3.0.201202152032,"org.eclipse.linuxtools.systemtap.ui.graphingapi.ui",1339972227123
stopped,bundle,org.eclipse.birt.chart.engine,3.7.2.v20120213,"org.eclipse.birt.chart.engine",1339972227141
stopped,bundle,org.eclipse.birt.core.ui,3.7.2.v20120213,"org.eclipse.birt.core.ui",1339972227150
stopped,bundle,org.eclipse.birt.data.aggregation,3.7.2.v20120213,"org.eclipse.birt.data.aggregation",1339972227167
stopped,bundle,org.eclipse.birt.data,3.7.2.v20120213,"org.eclipse.birt.data",1339972227188
activated,perspective,org.eclipse.cdt.ui,,"org.eclipse.cdt.ui.CPerspective",1339972524537
