what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1340033639843
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1340033639844
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1340033639856
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1340033639904
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1340033639906
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1340033639910
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1340033639915
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1340033639915
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1340033639923
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1340033639929
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1340033639939
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1340033639946
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1340033639947
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1340033639949
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1340033639958
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1340033639965
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1340033639965
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1340033639987
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1340033639995
started,bundle,org.eclipse.cdt.testsrunner,7.0.0.201112081129,"org.eclipse.cdt.testsrunner",1340033640003
os,sysinfo,,,"linux",1340033640011
arch,sysinfo,,,"x86",1340033640011
ws,sysinfo,,,"gtk",1340033640011
locale,sysinfo,,,"zh_TW",1340033640011
processors,sysinfo,,,"3",1340033640012
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1340033640012
java.runtime.version,sysinfo,,,"1.6.0_24-b24",1340033640012
java.specification.name,sysinfo,,,"Java Platform API Specification",1340033640012
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1340033640012
java.specification.version,sysinfo,,,"1.6",1340033640012
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1340033640012
java.version,sysinfo,,,"1.6.0_24",1340033640012
java.vm.info,sysinfo,,,"mixed mode, sharing",1340033640012
java.vm.name,sysinfo,,,"OpenJDK Client VM",1340033640012
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1340033640012
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1340033640012
java.vm.specification.version,sysinfo,,,"1.0",1340033640012
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1340033640012
java.vm.version,sysinfo,,,"20.0-b12",1340033640012
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340033640080
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1340033643087
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340035100396
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1340035108476
started,bundle,org.eclipse.linuxtools.tmf.core,0.4.0.201202152032,"org.eclipse.linuxtools.tmf.core",1340035108764
started,bundle,org.eclipse.linuxtools.tmf.ui,0.4.0.201202152032,"org.eclipse.linuxtools.tmf.ui",1340035108777
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340035112385
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340035115012
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340035134071
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1340035136311
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1340035136312
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340035136377
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1340035136556
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1340035136605
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1340035136631
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340035141297
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1340035142266
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1340035142266
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340035142353
